DB ID	Ligand ID	Ligand SMILES
P15555	CEF	CC(=O)OCC1=C(N[C@H](SC1)[C@@H](C=O)NC(=O)/C(=N\OC)/c2csc(n2)N)C(=O)O
P15555	CEP	COC(=O)CC1=C(N[C@H](SC1)[C@@H](C=O)NC(=O)Cc2cccs2)C(=O)O
P39042		
P39042	NA	[Na+]
P39042		
P39042		
P39042		
P0AEB2		
P15555	CEH	C[C@H](C(=O)N[C@H](C)C(=O)O)NC(=O)[C@H](CCC1=C(N[C@H](SC1)[C@@H](C(=O)O)NC(=O)Cc2ccccc2)C(=O)O)NC(=O)CC[C@H](C(=O)O)NC(=O)C
P15555	REX	C[C@H](C(=O)N[C@H](C)C(=O)O)NC(=O)CCCC[C@@H](C(=O)[O-])NC(=O)C[NH3+]
P15555	DAL	C[C@H](C(=O)O)N
P15555	REY	C[C@H](C(=O)O)NC(=O)CCCC[C@@H](C(=O)[O-])NC(=O)C[NH3+]
P39042	CL	[Cl-]
P39042	NA	[Na+]
P15555	GOL	C(C(CO)O)O
P15555	RE1	C[C@@H](NC(=O)CCCC[C@@H](C(=O)[O-])NC(=O)C[NH3+])[P@](=O)(O)[O-]
P0AEB2		
P0AEB2	BME	C(CS)O
P0AEB2	BME	C(CS)O
P15555	FOR	C=O
P15555	GOL	C(C(CO)O)O
P15555	HEL	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CCCC[C@@H](C(=O)[O-])NC(=O)C[NH3+])C(=O)[O-])C
P15555	GOL	C(C(CO)O)O
P15555	H2A	CC(=O)OCC1CS[C@@H]2[C@@H](C(=O)N2C1C(=O)[O-])NC(=O)CCCC[C@@H](C(=O)[O-])NC(=O)C[NH3+]
P15555	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
P15555	CSC	CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CCC[C@H](C(=O)O)[NH3+])SC1)C(=O)O
P15555	HE0	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)CCCC[C@@H](C(=O)O)NC(=O)CN)C(=O)O)C
P15555	CP5	c1ccc(cc1)/C(=C/OP(=O)=O)/C(=O)[O-]
P15555	GOL	C(C(CO)O)O
P15555	2PB	c1ccc(c(c1)C(=O)[O-])O[P@H](=O)[O-]
P15555	GOL	C(C(CO)O)O
P0AEB4	HG	[Hg+2]
P39042		
P39844	CA	[Ca+2]
P39045	MG	[Mg+2]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	MG	[Mg+2]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	CO	[Co+2]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	CO	[Co+2]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	CO	[Co+2]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	CO	[Co+2]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	MG	[Mg+2]
P39045	NCF	c1cc(sc1)CC(=O)N[C@H](C=O)[C@@H]2N=C(CCS2)C(=O)O
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	NCF	c1cc(sc1)CC(=O)N[C@H](C=O)[C@@H]2N=C(CCS2)C(=O)O
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	NCF	c1cc(sc1)CC(=O)N[C@H](C=O)[C@@H]2N=C(CCS2)C(=O)O
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	MG	[Mg+2]
P39045	NCF	c1cc(sc1)CC(=O)N[C@H](C=O)[C@@H]2N=C(CCS2)C(=O)O
P39045	SO4	[O-]S(=O)(=O)[O-]
Q8DQ99	IOD	[I-]
Q8DQ99	MSE	C[Se]CC[C@@H](C(=O)O)N
Q8DQ99	SO4	[O-]S(=O)(=O)[O-]
Q8DQ99	IOD	[I-]
Q8DQ99	MSE	C[Se]CC[C@@H](C(=O)O)N
Q8DQ99	SO4	[O-]S(=O)(=O)[O-]
Q8DQ99	IOD	[I-]
Q8DQ99	MSE	C[Se]CC[C@@H](C(=O)O)N
Q8DQ99	SO4	[O-]S(=O)(=O)[O-]
Q8DQ99	IOD	[I-]
Q8DQ99	MSE	C[Se]CC[C@@H](C(=O)O)N
Q8DQ99	SO4	[O-]S(=O)(=O)[O-]
P15555	BSA	c1ccc(cc1)C(=O)NCCS(=O)(=O)O
P15555	GOL	C(C(CO)O)O
P0AEB2	BO9	B([C@@H](C)NC(=O)[C@H](CCCCNC(=O)OCc1ccccc1)NC(=O)CC[C@@H](C(=O)O)NC(=O)OC(C)(C)C)(O)O
P0AEB2	GOL	C(C(CO)O)O
Q7D6F2	MSE	C[Se]CC[C@@H](C(=O)O)N
P24228	GOL	C(C(CO)O)O
P24228	AIC	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)N)C(=O)O)C
P24228	GOL	C(C(CO)O)O
P24228	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
P24228	GOL	C(C(CO)O)O
P24228	PNV	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COc3ccccc3)C(=O)O)C
P24228	FPM	C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)[C@H]3CCCO3)C(=O)O)O
P24228	GOL	C(C(CO)O)O
P24228	FXM	CC\C=C(\c1csc(n1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)OCOC(=O)C(C)(C)C
P24228	GOL	C(C(CO)O)O
Q8DH45		
Q8DH45		
Q8DH45		
Q8DH45		
Q8DH45	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
Q8DH45	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
Q8DH45	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
Q8DH45	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
Q8DH45		
Q8DH45	GOL	C(C(CO)O)O
Q8DH45	GOL	C(C(CO)O)O
Q8DH45	GOL	C(C(CO)O)O
P39844	DAL	C[C@H](C(=O)O)N
P39844	REZ	C[C@H](C(=O)O)NC(=O)CCCC[C@H](C(=O)O)N
P39844	DAL	C[C@H](C(=O)O)N
P39844	REZ	C[C@H](C(=O)O)NC(=O)CCCC[C@H](C(=O)O)N
Q8DH45	GOL	C(C(CO)O)O
Q8DH45	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
Q8DH45	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
Q8DH45	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
Q8DH45	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
Q9RET4		
Q9RET4	BA	[Ba+2]
Q9RET4	MES	C1COCC[NH+]1CCS(=O)(=O)[O-]
P39045	MG	[Mg+2]
P39045	REC	C=C1CS[C@@H](N=C1C(=O)O)[C@@H](C(=O)O)NC(=O)CCCC[C@H](C(=O)O)N
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	REC	C=C1CS[C@@H](N=C1C(=O)O)[C@@H](C(=O)O)NC(=O)CCCC[C@H](C(=O)O)N
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	REC	C=C1CS[C@@H](N=C1C(=O)O)[C@@H](C(=O)O)NC(=O)CCCC[C@H](C(=O)O)N
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	MG	[Mg+2]
P39045	REC	C=C1CS[C@@H](N=C1C(=O)O)[C@@H](C(=O)O)NC(=O)CCCC[C@H](C(=O)O)N
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	MG	[Mg+2]
P39045	REZ	C[C@H](C(=O)O)NC(=O)CCCC[C@H](C(=O)O)N
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	REZ	C[C@H](C(=O)O)NC(=O)CCCC[C@H](C(=O)O)N
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	REZ	C[C@H](C(=O)O)NC(=O)CCCC[C@H](C(=O)O)N
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	MG	[Mg+2]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	BIY	CC1([C@@H](NC=C(S1)C(=O)O)C(=O)O)C
P39045	CO	[Co+2]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	BIY	CC1([C@@H](NC=C(S1)C(=O)O)C(=O)O)C
P39045	CO	[Co+2]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	BIY	CC1([C@@H](NC=C(S1)C(=O)O)C(=O)O)C
P39045	CO	[Co+2]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	BIY	CC1([C@@H](NC=C(S1)C(=O)O)C(=O)O)C
P39045	CO	[Co+2]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	CO	[Co+2]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	BO8	[B-]([C@@H](C)NC(=O)CCCC[C@H](C(=O)O)N)(O)(O)O
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	BO8	[B-]([C@@H](C)NC(=O)CCCC[C@H](C(=O)O)N)(O)(O)O
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	CO	[Co+2]
P39045	MES	C1COCC[NH+]1CCS(=O)(=O)[O-]
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	CO	[Co+2]
P39045	EWB	[B-]([C@@H](C)NC(=O)c1ccccc1Cc2ccccc2)(O)(O)O
P39045	SO4	[O-]S(=O)(=O)[O-]
P39045	EWB	[B-]([C@@H](C)NC(=O)c1ccccc1Cc2ccccc2)(O)(O)O
P39045	SO4	[O-]S(=O)(=O)[O-]
